Nombre del Centro;Num de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
 + Q FISIO;24-C22-0172;CL. PADRE ISLA 24  ;24,002;LEON;LEON;987,259,343;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FISYO LEON C.B.;PRIVADOS
AMBUBIERZO;24-C290-0017;CL. MAESTRO URIARTE 3  ;24,007;LEON;LEON;987,876,216;987,876,230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBUBIERZO, S.L.;PRIVADOS
AMBULANCIAS BENAVENTE;49-C290-0002;CD. DE LA VIZANA 28  ;49,600;BENAVENTE;ZAMORA;0;980,636,312;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS BENAVENTE, S.L.;PRIVADOS
AMBULANCIAS CARRACEDO;24-C290-0014;CL. MAESTRO URIARTE 3  ;24,007;LEON;LEON;987,876,216;987,876,230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS CARRACEDO, S.L.;PRIVADOS
AMBULANCIAS ENRIQUE BLANCO;24-C290-0024;CL. FERNANDO III EL SANTO 20  ;24,007;LEON;LEON;987,876,216;987,876,230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;ENRIQUE BLANCO, S.L.;PRIVADOS
AMBULANCIAS ENRIQUE BLANCO (PONFERRADA);24-C290-0025;AV. DE GALICIA 336  ;24,404;PONFERRADA;LEON;0;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;ENRIQUE BLANCO, S.L.;PRIVADOS
AMBULANCIAS MARINA S.A.;37-C290-0010;CL. LARGA 9  H;37,188;CARBAJOSA DE LA SAGRADA;SALAMANCA;619,262,749;916,601,139;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS MARINA, S.A.;PRIVADOS
AMBULANCIAS SANTOS;24-C290-0016;CL. MAESTRO URIARTE 3  ;24,007;LEON;LEON;987,876,216;987,876,230;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO ;AMBULANCIAS SANTOS, S.L.;PRIVADOS
ANAYA PSICOLOGIA;24-C22-0125;CL. RENUEVA 11  C;24,002;LEON;LEON;987,094,618;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES;LOMBO RODRIGUEZ , JOSE ;PRIVADOS
ARMONIA AGUILAR;34-C22-0121;AV. RONDA 20  ;34,800;AGUILAR DE CAMPOO;PALENCIA;606,963,156;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;LA CLINICA DEL MASAJE S.L.;PRIVADOS
